method,city,load,train_seed,eval_seed,model_path,events,requests,abandoned,abandon_rate,served_per_tick,served_per_request,avg_reward,median_reward,avg_trip_h,avg_queue_h,median_queue_h,p90_queue_h,p95_queue_h,p99_queue_h,max_queue_h,cvar95_queue_h,var_queue_h,avg_fee,load_gini,action_gini
FedRep,new_city,60,101,1006,checkpoints_paper_core\sparse15_60ev_seed101_fedrep\new_city_final.pth,686,714,0,0.0,4.763888888888889,0.9607843137254902,-1.0676366586404828,-1.076322773278795,0.43224634852284405,0.3493683187560738,0.3333333333333333,0.6666666666666666,0.7916666666666666,0.8583333333333295,0.9999999999999999,0.8666666666666663,0.0669602423782232,60.132674297082765,0.034021567853157686,0.0490196078431373
FedRep,new_city,60,101,1007,checkpoints_paper_core\sparse15_60ev_seed101_fedrep\new_city_final.pth,691,719,0,0.0,4.798611111111111,0.96105702364395,-1.0519182393156261,-1.0672094586285021,0.43159790482053695,0.336951278340569,0.3333333333333333,0.6666666666666666,0.8333333333333333,0.8333333333333333,0.9999999999999999,0.8433333333333334,0.07158202222822656,59.706041575165024,0.028669645371265373,0.042767732962447846
FedRep,new_city,60,101,1008,checkpoints_paper_core\sparse15_60ev_seed101_fedrep\new_city_final.pth,704,732,0,0.0,4.888888888888889,0.9617486338797814,-1.061807938467304,-1.074429097834984,0.42690892555882337,0.34753787878787873,0.3333333333333333,0.6666666666666666,0.8333333333333333,0.8333333333333333,0.9999999999999999,0.8565891472868216,0.06671742280762134,59.86958604719998,0.02671938005150265,0.04303278688524581
FedRep,new_city,60,101,1009,checkpoints_paper_core\sparse15_60ev_seed101_fedrep\new_city_final.pth,689,717,0,0.0,4.784722222222222,0.9609483960948396,-1.0637255956895482,-1.0835596835952068,0.4138984137091124,0.35316884373488155,0.3333333333333333,0.6666666666666666,0.7666666666666704,0.8333333333333333,0.9999999999999999,0.8571428571428568,0.06298342722473936,59.89873820241545,0.030993209073290284,0.04637377963737799
FedRep,new_city,60,101,1010,checkpoints_paper_core\sparse15_60ev_seed101_fedrep\new_city_final.pth,685,713,0,0.0,4.756944444444445,0.9607293127629734,-1.0534866946292176,-1.0699687649859382,0.40442355560395177,0.34720194647201946,0.3333333333333333,0.6666666666666666,0.8333333333333333,0.9999999999999999,1.1666666666666665,0.8699186991869916,0.07073223577885462,59.66440416061769,0.033050411629257814,0.04453015427769991
FedRep,suburb,60,101,1001,checkpoints_paper_core\sparse15_60ev_seed101_fedrep\suburb_final.pth,672,700,0,0.0,4.666666666666667,0.96,-0.9442061402750314,-0.9538871471050714,0.3499364267761359,0.4489087301587306,0.5,0.9999999999999999,1.1666666666666665,1.3333333333333333,1.8333333333333335,1.267441860465116,0.14256163981796457,54.501691877055734,0.04973677274692467,0.06785714285714284
FedRep,suburb,60,101,1002,checkpoints_paper_core\sparse15_60ev_seed101_fedrep\suburb_final.pth,676,707,0,0.0,4.694444444444445,0.9561527581329562,-0.9251323686791119,-0.9750407213015115,0.3514387528000436,0.426282051282051,0.3333333333333333,0.9999999999999999,1.1666666666666665,1.3333333333333333,1.5,1.2518518518518518,0.15609590729783043,54.10206882732187,0.05771619831845842,0.07602545968882612
FedRep,suburb,60,101,1003,checkpoints_paper_core\sparse15_60ev_seed101_fedrep\suburb_final.pth,691,719,0,0.0,4.798611111111111,0.96105702364395,-0.9312266753744549,-0.9724995821075743,0.3459344926466718,0.4392185238784369,0.5,0.8333333333333333,0.9999999999999999,1.3333333333333333,1.5,1.099502487562189,0.12518485319601996,54.67530150914911,0.04664450109538354,0.06641168289290689
FedRep,suburb,60,101,1004,checkpoints_paper_core\sparse15_60ev_seed101_fedrep\suburb_final.pth,678,706,0,0.0,4.708333333333333,0.9603399433427762,-0.9273239140203036,-0.9507812936149364,0.3439335121360702,0.43928220255653855,0.3333333333333333,0.9999999999999998,1.1666666666666665,1.3333333333333333,1.5,1.2248062015503873,0.1446663480903301,54.00624699975616,0.04630817059553127,0.06586402266288949
FedRep,suburb,60,101,1005,checkpoints_paper_core\sparse15_60ev_seed101_fedrep\suburb_final.pth,685,714,0,0.0,4.756944444444445,0.9593837535014006,-0.9236998404365054,-0.9367978570696628,0.34781346582251393,0.4282238442822386,0.3333333333333333,0.9999999999999998,0.9999999999999999,1.3333333333333333,1.3333333333333333,1.0909090909090913,0.13203390934223663,54.63483974336414,0.04308558278762509,0.06372549019607843
FedRep,suburb,60,101,1006,checkpoints_paper_core\sparse15_60ev_seed101_fedrep\suburb_final.pth,686,715,0,0.0,4.763888888888889,0.9594405594405594,-0.9456673296435545,-0.983137117725537,0.3414967250989788,0.4628279883381928,0.5,0.8333333333333333,1.1666666666666665,1.3333333333333333,1.5,1.2685185185185182,0.1261287695697475,54.22667160192468,0.04986630937584158,0.07517482517482521
FedRep,suburb,60,101,1007,checkpoints_paper_core\sparse15_60ev_seed101_fedrep\suburb_final.pth,680,711,0,0.0,4.722222222222222,0.9563994374120957,-0.9522434237037815,-0.9697100247178696,0.3429812108204882,0.4681372549019604,0.5,0.9999999999999999,1.1666666666666665,1.5,1.6666666666666667,1.2708333333333335,0.17096188965782433,54.269929705914784,0.05104905461966758,0.06715893108298165
FedRep,suburb,60,101,1008,checkpoints_paper_core\sparse15_60ev_seed101_fedrep\suburb_final.pth,693,723,0,0.0,4.8125,0.9585062240663901,-0.9518371492902827,-0.9810906778317182,0.3471645461379569,0.4620009620009627,0.3333333333333333,0.9999999999999999,1.1666666666666665,1.3466666666666733,1.6666666666666667,1.2655367231638421,0.1606532352083093,54.25227081195932,0.045328183483329676,0.06950207468879666
FedRep,suburb,60,101,1009,checkpoints_paper_core\sparse15_60ev_seed101_fedrep\suburb_final.pth,686,714,0,0.0,4.763888888888889,0.9607843137254902,-0.9315786431913311,-0.9374730144080006,0.32452066452773093,0.47060252672497577,0.5,0.9999999999999999,1.1666666666666665,1.3333333333333333,1.5,1.2134502923976607,0.14867417534832947,54.02724107244848,0.045826396491401855,0.06442577030812324
FedRep,suburb,60,101,1010,checkpoints_paper_core\sparse15_60ev_seed101_fedrep\suburb_final.pth,674,706,0,0.0,4.680555555555555,0.9546742209631728,-0.9331894748313688,-0.9700028351891452,0.35031414797537785,0.4362017804154298,0.3333333333333333,0.9999999999999998,1.1666666666666665,1.3333333333333333,1.5,1.251572327044025,0.1613600542401524,54.388799280286165,0.05387881596959421,0.07436260623229463
Local,old_city,60,102,1001,checkpoints_paper_core\sparse15_60ev_seed102_local_old_city\model_final.pth,652,680,0,0.0,4.527777777777778,0.9588235294117647,-1.1951189261710247,-1.0406402242728496,0.6286140873451085,0.19631901840490815,0.16666666666666666,0.5,0.5,0.6666666666666666,0.8333333333333333,0.5501474926253687,0.04283239447810937,97.14201841447321,0.039323567978396534,0.047794117647058876
Local,old_city,60,102,1002,checkpoints_paper_core\sparse15_60ev_seed102_local_old_city\model_final.pth,650,678,0,0.0,4.513888888888889,0.9587020648967551,-1.179844768338684,-1.0526255560293274,0.6282594504032878,0.19307692307692303,0.16666666666666666,0.5,0.5,0.8333333333333333,0.8333333333333333,0.5620915032679739,0.043447797501644014,96.34787567540067,0.04553868359758839,0.053834808259586975
Local,old_city,60,102,1003,checkpoints_paper_core\sparse15_60ev_seed102_local_old_city\model_final.pth,658,691,0,0.0,4.569444444444445,0.9522431259044862,-1.1882741564141404,-1.0593231241253662,0.6335675249154452,0.195288753799392,0.16666666666666666,0.5,0.5,0.6666666666666666,0.8333333333333333,0.5532646048109964,0.04050971905285389,95.45914017206991,0.049244333019479614,0.05680173661360355
Local,old_city,60,102,1004,checkpoints_paper_core\sparse15_60ev_seed102_local_old_city\model_final.pth,654,682,0,0.0,4.541666666666667,0.9589442815249267,-1.1585944729506692,-1.0740276238310646,0.6283409661394695,0.1878185524974515,0.16666666666666666,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5411985018726589,0.036632108429165165,96.51286175503186,0.04089194081826708,0.04912023460410553
Local,old_city,60,102,1005,checkpoints_paper_core\sparse15_60ev_seed102_local_old_city\model_final.pth,647,675,0,0.0,4.493055555555555,0.9585185185185185,-1.19041988627486,-1.0400237231378888,0.6377429787510611,0.19474497681607422,0.16666666666666666,0.5,0.5,0.6666666666666666,0.8333333333333333,0.5533333333333331,0.040126944236745926,96.89128638806568,0.0425096659494153,0.05296296296296288
Local,old_city,60,102,1006,checkpoints_paper_core\sparse15_60ev_seed102_local_old_city\model_final.pth,662,691,0,0.0,4.597222222222222,0.9580318379160637,-1.1957873143035707,-1.0974634681510687,0.6435693357550019,0.19587109768378652,0.16666666666666666,0.5,0.5,0.6666666666666666,0.8333333333333333,0.535,0.03800242178634132,96.55486514418874,0.03932527037101363,0.04956584659913177
Local,old_city,60,102,1007,checkpoints_paper_core\sparse15_60ev_seed102_local_old_city\model_final.pth,664,692,0,0.0,4.611111111111111,0.9595375722543352,-1.1252088835495357,-1.0037539311970114,0.6454019930716212,0.17846385542168672,0.16666666666666666,0.5,0.5,0.6666666666666666,0.8333333333333333,0.5337078651685393,0.03629824266947314,96.82547576568277,0.04025060049983398,0.049132947976878505
Local,old_city,60,102,1008,checkpoints_paper_core\sparse15_60ev_seed102_local_old_city\model_final.pth,668,697,0,0.0,4.638888888888889,0.9583931133428981,-1.1902909782409519,-1.092966812446098,0.6567861520741077,0.19386227544910178,0.16666666666666666,0.5,0.5,0.6666666666666666,0.9999999999999999,0.5503875968992248,0.03722613405922709,96.27629367015817,0.04081096117148819,0.05129124820659969
Local,old_city,60,102,1009,checkpoints_paper_core\sparse15_60ev_seed102_local_old_city\model_final.pth,656,684,0,0.0,4.555555555555555,0.9590643274853801,-1.1579041920215936,-1.0453171207582472,0.6423883093835848,0.18673780487804884,0.16666666666666666,0.5,0.5,0.6666666666666666,0.8333333333333333,0.5399999999999998,0.0385114448038535,96.56786160455646,0.03979481396546003,0.04824561403508776
Local,old_city,60,102,1010,checkpoints_paper_core\sparse15_60ev_seed102_local_old_city\model_final.pth,650,681,0,0.0,4.513888888888889,0.9544787077826725,-1.1754071358281217,-1.0603095811560599,0.6299570443357135,0.19179487179487167,0.16666666666666666,0.5,0.5,0.6666666666666666,0.8333333333333333,0.5462046204620462,0.039624983563445224,96.52223569096158,0.045609009576931925,0.05616740088105732
Local,new_city,60,102,1001,checkpoints_paper_core\sparse15_60ev_seed102_local_new_city\model_final.pth,676,704,0,0.0,4.694444444444445,0.9602272727272727,-1.0543827215469348,-1.0644649747293111,0.4318770906715034,0.33974358974358965,0.3333333333333333,0.6666666666666666,0.8333333333333333,0.8333333333333333,1.1666666666666665,0.8596491228070171,0.06956771860617986,59.69939995082999,0.032332028180253714,0.04900568181818188
Local,new_city,60,102,1002,checkpoints_paper_core\sparse15_60ev_seed102_local_new_city\model_final.pth,683,711,0,0.0,4.743055555555555,0.960618846694796,-1.0312129638908807,-1.056461510254165,0.43922286662879334,0.31673987310883345,0.3333333333333333,0.6666666666666665,0.8333333333333333,0.9999999999999999,1.1666666666666665,0.8783783783783782,0.07138562991005354,59.256273568660994,0.031758680002002215,0.043952180028129506
