method,variant,city,load,train_seed,eval_seed,model_path,events,requests,abandoned,abandon_rate,served_per_tick,served_per_request,avg_reward,median_reward,avg_trip_h,avg_queue_h,median_queue_h,p90_queue_h,p95_queue_h,p99_queue_h,max_queue_h,cvar95_queue_h,var_queue_h,avg_fee,load_gini,action_gini
LocalDQN,B,old_city,60,102,1001,checkpoints_heading_ablation\dqn_heading_B_old_city_60ev_ep100_epsd0p98_seed102\model_final.pth,641,670,0,0.0,4.451388888888889,0.9567164179104478,-1.0132326348908776,-0.8178107832510666,0.7061239872317332,0.1482059282371296,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.8333333333333333,0.5727272727272729,0.03350388825745451,95.48701839088453,0.03721096463418938,0.04477611940298498
LocalDQN,B,old_city,60,102,1002,checkpoints_heading_ablation\dqn_heading_B_old_city_60ev_ep100_epsd0p98_seed102\model_final.pth,649,680,0,0.0,4.506944444444445,0.9544117647058824,-0.9659081054140602,-0.6244245330985131,0.6827554017729124,0.13790446841294327,0.0,0.36666666666667425,0.5,0.6666666666666666,0.8333333333333333,0.5461538461538461,0.03247182857274008,95.97965163911708,0.03627318594129547,0.04338235294117654
LocalDQN,B,old_city,60,102,1003,checkpoints_heading_ablation\dqn_heading_B_old_city_60ev_ep100_epsd0p98_seed102\model_final.pth,652,681,0,0.0,4.527777777777778,0.9574155653450808,-0.9647971877337924,-0.6162489930082475,0.7189366292649036,0.13522494887525574,0.0,0.3333333333333333,0.5,0.6666666666666666,0.8333333333333333,0.5393939393939394,0.030240116405502095,96.22456473031106,0.030315908733213437,0.03707782672540372
LocalDQN,B,old_city,60,102,1004,checkpoints_heading_ablation\dqn_heading_B_old_city_60ev_ep100_epsd0p98_seed102\model_final.pth,647,675,0,0.0,4.493055555555555,0.9585185185185185,-1.0069151385735204,-0.9014376104908643,0.6756272358414448,0.148119526017517,0.16666666666666666,0.5,0.5,0.6666666666666666,0.8333333333333333,0.5505050505050505,0.03340149558816657,96.32134469967826,0.03173166420411211,0.0411111111111111
LocalDQN,B,old_city,60,102,1005,checkpoints_heading_ablation\dqn_heading_B_old_city_60ev_ep100_epsd0p98_seed102\model_final.pth,641,669,0,0.0,4.451388888888889,0.9581464872944694,-0.9826878950648039,-0.6285376104479325,0.7140354392231594,0.13962558502340094,0.0,0.5,0.5,0.6666666666666666,0.8333333333333333,0.5531400966183575,0.03480353462708445,96.67436039150712,0.0333498155071037,0.04297458893871453
LocalDQN,B,old_city,60,102,1006,checkpoints_heading_ablation\dqn_heading_B_old_city_60ev_ep100_epsd0p98_seed102\model_final.pth,654,685,0,0.0,4.541666666666667,0.9547445255474453,-1.0335543577152093,-0.9408497951514173,0.6971967901441473,0.1531600407747198,0.16666666666666666,0.45000000000000756,0.5,0.6666666666666666,0.8333333333333333,0.537878787878788,0.03222497846442228,96.45386902555806,0.03451874996583526,0.044160583941605935
LocalDQN,B,old_city,60,102,1007,checkpoints_heading_ablation\dqn_heading_B_old_city_60ev_ep100_epsd0p98_seed102\model_final.pth,655,685,0,0.0,4.548611111111111,0.9562043795620438,-1.027141440112172,-0.8996113608266698,0.6942616420742692,0.15190839694656505,0.16666666666666666,0.5,0.5,0.6666666666666666,0.8333333333333333,0.5514705882352942,0.03421815615510636,96.23720233407482,0.026087230097072478,0.03905109489051095
LocalDQN,B,old_city,60,102,1008,checkpoints_heading_ablation\dqn_heading_B_old_city_60ev_ep100_epsd0p98_seed102\model_final.pth,663,692,0,0.0,4.604166666666667,0.958092485549133,-1.033834178488745,-0.8924604192114651,0.7075938946758187,0.15284062342885893,0.16666666666666666,0.5,0.5,0.6666666666666666,0.8333333333333333,0.5555555555555557,0.03496050803299455,95.97987269923036,0.03160202762579756,0.040462427745664664
LocalDQN,B,old_city,60,102,1009,checkpoints_heading_ablation\dqn_heading_B_old_city_60ev_ep100_epsd0p98_seed102\model_final.pth,656,684,0,0.0,4.555555555555555,0.9590643274853801,-1.026862991308862,-0.6607459468767538,0.6806190829888386,0.15320121951219517,0.0,0.5,0.5,0.6666666666666666,0.8333333333333333,0.5426356589147285,0.03771671696328252,95.33864762120798,0.03360236585755172,0.042397660818713545
LocalDQN,B,old_city,60,102,1010,checkpoints_heading_ablation\dqn_heading_B_old_city_60ev_ep100_epsd0p98_seed102\model_final.pth,648,678,0,0.0,4.5,0.9557522123893806,-0.9912206729070683,-0.8995740032098636,0.6804586828738519,0.14480452674897143,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.8333333333333333,0.5535714285714286,0.031286450130400045,94.89395300153136,0.03353283899767101,0.041297935103244754
LocalDQN,C,old_city,60,102,1001,checkpoints_heading_ablation\dqn_heading_C_old_city_60ev_ep100_epsd0p98_seed102\model_final.pth,639,667,0,0.0,4.4375,0.9580209895052474,-0.9348071531768091,-0.5971803630961503,0.7198810013420992,0.12780386019822648,0.0,0.3333333333333333,0.5,0.6666666666666666,0.8333333333333333,0.5666666666666667,0.028354053687063584,96.36459867170005,0.02510894460788271,0.03485757121439281
LocalDQN,C,old_city,60,102,1002,checkpoints_heading_ablation\dqn_heading_C_old_city_60ev_ep100_epsd0p98_seed102\model_final.pth,642,670,0,0.0,4.458333333333333,0.9582089552238806,-0.8931435566194323,-0.5728999128621308,0.7194652706508231,0.11812045690550367,0.0,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.5340909090909092,0.026502732461404364,95.63519341000445,0.0288430643726183,0.035820895522387985
LocalDQN,C,old_city,60,102,1003,checkpoints_heading_ablation\dqn_heading_C_old_city_60ev_ep100_epsd0p98_seed102\model_final.pth,652,680,0,0.0,4.527777777777778,0.9588235294117647,-0.8860575395680972,-0.5677993591715964,0.7350860647974254,0.11528629856850718,0.0,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.5303030303030304,0.02628814230034159,95.87100740143975,0.029984459634776917,0.03750000000000009
LocalDQN,C,old_city,60,102,1004,checkpoints_heading_ablation\dqn_heading_C_old_city_60ev_ep100_epsd0p98_seed102\model_final.pth,641,669,0,0.0,4.451388888888889,0.9581464872944694,-0.8984942589570726,-0.6068339880559994,0.720885973970897,0.11960478419136766,0.0,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.37270341207349117,0.022009481523306652,95.14610878897427,0.02600100604580846,0.034753363228699596
